sample_id,label,dataset_source,owner,repo,repo_key,vulnerable_hash,file_name,raw_url,patch_signif,patch_count,path_depth,path_len,filename_len,token_count_in_path,raw_url_len,is_test_like,is_internal_path,is_pkg_path,is_cmd_path,has_auth_kw,has_crypto_kw,has_network_kw,has_storage_kw,has_parser_kw,has_input_kw,has_exec_kw,has_security_kw,repo_rows_in_dataset,owner_rows_in_dataset,files_in_same_fix_commit,rows_in_same_dir_in_dataset,same_file_occurrences_in_dataset,repo_positive_ratio_in_dataset
f13c8aa45ba0,1,vulnerable,kongchuanhujiao,server,kongchuanhujiao/server,ae4187b568c88fef812da3b4da0fa82fd44f55a1,internal/app/datahub/pkg/account/memory.go,https://github.com/kongchuanhujiao/ProvinceServer/raw/9a125624f219e496bdf4b07b404816d5a309bdc1/internal%2Fapp%2Fdatahub%2Fpkg%2Faccount%2Fmemory.go,"['@@ -1,15 +1,39 @@']",1,5,42,9,7,147,0,1,1,0,0,0,0,0,0,0,0,0,3,3,3,1,1,1.0
e98b0cfe53c0,1,vulnerable,kongchuanhujiao,server,kongchuanhujiao/server,ae4187b568c88fef812da3b4da0fa82fd44f55a1,internal/app/kongchuanhujiao/account/apis.go,https://github.com/kongchuanhujiao/ProvinceServer/raw/9a125624f219e496bdf4b07b404816d5a309bdc1/internal%2Fapp%2Fkongchuanhujiao%2Faccount%2Fapis.go,[],0,4,44,7,6,147,0,1,0,0,0,0,0,0,0,0,0,0,3,3,3,2,1,1.0
4b1048c7636e,1,vulnerable,kongchuanhujiao,server,kongchuanhujiao/server,ae4187b568c88fef812da3b4da0fa82fd44f55a1,internal/app/kongchuanhujiao/account/utils.go,https://github.com/kongchuanhujiao/ProvinceServer/raw/9a125624f219e496bdf4b07b404816d5a309bdc1/internal%2Fapp%2Fkongchuanhujiao%2Faccount%2Futils.go,"['@@ -2,10 +2,6 @@', '@@ -22,27 +18,14 @@']",2,4,45,8,6,148,0,1,0,0,0,0,0,0,0,0,0,0,3,3,3,2,1,1.0
ec6283b114c8,1,vulnerable,v2fly,v2ray-core,v2fly/v2ray-core,7b0699e8a5452522df5b875407412deef4c84960,proxy/vmess/encoding/commands.go,https://github.com/v2fly/v2ray-core/raw/c1af2bfd7aa59a4482aa7f6ec4b9208c1d350b5c/proxy%2Fvmess%2Fencoding%2Fcommands.go,[],0,3,32,11,5,119,0,0,0,0,0,0,1,0,0,0,1,0,30,30,2,2,1,0.06666666666666667
2865c59dd53b,1,vulnerable,v2fly,v2ray-core,v2fly/v2ray-core,7b0699e8a5452522df5b875407412deef4c84960,proxy/vmess/encoding/commands_test.go,https://github.com/v2fly/v2ray-core/raw/c1af2bfd7aa59a4482aa7f6ec4b9208c1d350b5c/proxy%2Fvmess%2Fencoding%2Fcommands_test.go,"['@@ -35,3 +36,23 @@']",1,3,37,16,6,124,1,0,0,0,0,0,1,0,0,0,1,0,30,30,2,2,1,0.06666666666666667
0849456d4476,1,vulnerable,gravitl,netmaker,gravitl/netmaker,5bf8cffd8a74863cca418d6186080f5440c8ad94,logic/jwts.go,https://github.com/gravitl/netmaker/raw/3d4f44ecfe8be4ca38920556ba3b90502ffb4fee/logic%2Fjwts.go,"['@@ -2,14 +2,29 @@', '@@ -19,6 +34,9 @@', '@@ -39,6 +57,9 @@']",3,1,13,7,3,96,0,0,0,0,0,1,0,0,0,0,0,0,9,9,3,7,3,1.0
ab0caed3bb29,1,vulnerable,gravitl,netmaker,gravitl/netmaker,5bf8cffd8a74863cca418d6186080f5440c8ad94,logic/serverconf.go,https://github.com/gravitl/netmaker/raw/3d4f44ecfe8be4ca38920556ba3b90502ffb4fee/logic%2Fserverconf.go,"['@@ -43,3 +43,32 @@']",1,1,19,13,3,102,0,0,0,0,0,0,1,0,0,0,0,0,9,9,3,7,2,1.0
da205c93bb91,1,vulnerable,gravitl,netmaker,gravitl/netmaker,5bf8cffd8a74863cca418d6186080f5440c8ad94,main.go,https://github.com/gravitl/netmaker/raw/3d4f44ecfe8be4ca38920556ba3b90502ffb4fee/main.go,[],0,0,7,7,2,88,0,0,0,0,0,0,0,0,0,0,0,0,9,9,3,2,2,1.0
29ab33de94b1,1,vulnerable,gravitl,netmaker,gravitl/netmaker,44688fe32ce8340914ba5a81f999b794a33b6712,logic/jwts.go,https://github.com/gravitl/netmaker/raw/e9bce264719f88c30e252ecc754d08f422f4c080/logic%2Fjwts.go,"['@@ -5,11 +5,29 @@']",1,1,13,7,3,96,0,0,0,0,0,1,0,0,0,0,0,0,9,9,4,7,3,1.0
c119dc1c6a5e,1,vulnerable,gravitl,netmaker,gravitl/netmaker,44688fe32ce8340914ba5a81f999b794a33b6712,logic/serverconf.go,https://github.com/gravitl/netmaker/raw/e9bce264719f88c30e252ecc754d08f422f4c080/logic%2Fserverconf.go,"['@@ -43,3 +43,32 @@']",1,1,19,13,3,102,0,0,0,0,0,0,1,0,0,0,0,0,9,9,4,7,2,1.0
